rule,frequency,sup,confidence,label,ID
"['NN', 'VBD', 'NN', 'RBR_better']",16,16,1.0,YES,0
"['NN', 'VBD', 'NN', 'RBR_better', 'IN']",16,16,1.0,YES,1
"['NN', 'VBD', 'NN', 'RBR_better', 'IN', 'NN']",12,12,1.0,YES,2
"['NN', 'VBD', 'NN', 'RBR_better', 'NN']",12,12,1.0,YES,3
"['NN', 'VBD', 'NN', 'RBR_better', 'RB']",4,4,1.0,YES,4
"['NN', 'VBD', 'NN', 'RBR_better', 'RB', 'VB']",4,4,1.0,YES,5
"['NN', 'VBD', 'NN', 'RBR_better', 'RB', 'VB', 'IN']",4,4,1.0,YES,6
"['NN', 'VBD', 'NN', 'RBR_better', 'RB', 'IN']",4,4,1.0,YES,7
"['NN', 'VBD', 'NN', 'RBR_better', 'VB']",4,4,1.0,YES,8
"['NN', 'VBD', 'NN', 'RBR_better', 'VB', 'IN']",4,4,1.0,YES,9
"['NN', 'VBD', 'NN', 'IN', 'NN']",16,16,1.0,YES,10
"['NN', 'VBD', 'NN', 'NN', 'NN']",1,1,1.0,NO,11
"['NN', 'VBD', 'NN', 'RB']",4,4,1.0,YES,12
"['NN', 'VBD', 'NN', 'RB', 'VB']",4,4,1.0,YES,13
"['NN', 'VBD', 'NN', 'RB', 'VB', 'IN']",4,4,1.0,YES,14
"['NN', 'VBD', 'NN', 'RB', 'IN']",4,4,1.0,YES,15
"['NN', 'VBD', 'NN', 'VB']",4,4,1.0,YES,16
"['NN', 'VBD', 'NN', 'VB', 'IN']",4,4,1.0,YES,17
"['NN', 'VBD', 'NN', 'VBD']",2,2,1.0,NO,18
"['NN', 'VBD', 'RBR_better', 'IN', 'NN']",16,16,1.0,YES,19
"['NN', 'VBD', 'RBR_better', 'IN', 'NN', 'IN']",4,4,1.0,YES,20
"['NN', 'VBD', 'RBR_better', 'IN', 'IN']",4,4,1.0,YES,21
"['NN', 'VBD', 'RBR_better', 'IN', 'DT']",2,2,1.0,NO,22
"['NN', 'VBD', 'RBR_better', 'IN', 'DT', 'JJ']",2,2,1.0,NO,23
"['NN', 'VBD', 'RBR_better', 'IN', 'JJ']",2,2,1.0,NO,24
"['NN', 'VBD', 'RBR_better', 'NN']",16,16,1.0,YES,25
"['NN', 'VBD', 'RBR_better', 'NN', 'IN']",4,4,1.0,YES,26
"['NN', 'VBD', 'RBR_better', 'RB']",4,4,1.0,YES,27
"['NN', 'VBD', 'RBR_better', 'RB', 'VB']",4,4,1.0,YES,28
"['NN', 'VBD', 'RBR_better', 'RB', 'VB', 'IN']",4,4,1.0,YES,29
"['NN', 'VBD', 'RBR_better', 'RB', 'IN']",4,4,1.0,YES,30
"['NN', 'VBD', 'RBR_better', 'VB']",4,4,1.0,YES,31
"['NN', 'VBD', 'RBR_better', 'VB', 'IN']",4,4,1.0,YES,32
"['NN', 'VBD', 'RBR_better', 'DT']",2,2,1.0,NO,33
"['NN', 'VBD', 'RBR_better', 'DT', 'JJ']",2,2,1.0,NO,34
"['NN', 'VBD', 'RBR_better', 'JJ']",2,2,1.0,NO,35
"['NN', 'VBD', 'IN', 'NN', 'IN']",4,4,1.0,YES,36
"['NN', 'VBD', 'IN', 'NN', 'VBD']",2,2,1.0,NO,37
"['NN', 'VBD', 'IN', 'DT', 'IN']",1,1,1.0,NO,38
"['NN', 'VBD', 'IN', 'DT', 'JJ']",2,2,1.0,NO,39
"['NN', 'VBD', 'IN', 'JJ', 'NN']",4,4,1.0,YES,40
"['NN', 'VBD', 'IN', 'JJ', 'JJ']",4,4,1.0,YES,41
"['NN', 'VBD', 'IN', 'JJ', 'RB']",2,2,1.0,NO,42
"['NN', 'VBD', 'IN', 'CC', 'IN']",1,1,1.0,NO,43
"['NN', 'VBD', 'IN', 'VBD']",2,2,1.0,NO,44
"['NN', 'VBD', 'IN', 'RB']",2,2,1.0,NO,45
"['NN', 'VBD', 'IN', 'DT_all']",1,1,1.0,NO,46
"['NN', 'VBD', 'IN', 'DT_all', 'NNS']",1,1,1.0,NO,47
"['NN', 'VBD', 'IN', 'DT_all', 'NNS', 'CC']",1,1,1.0,NO,48
"['NN', 'VBD', 'IN', 'DT_all', 'NNS', 'CC', 'IN']",1,1,1.0,NO,49
"['NN', 'VBD', 'IN', 'DT_all', 'NNS', 'IN']",1,1,1.0,NO,50
"['NN', 'VBD', 'IN', 'DT_all', 'CC']",1,1,1.0,NO,51
"['NN', 'VBD', 'IN', 'DT_all', 'CC', 'IN']",1,1,1.0,NO,52
"['NN', 'VBD', 'IN', 'DT_all', 'IN']",1,1,1.0,NO,53
"['NN', 'VBD', 'IN', 'NNS']",1,1,1.0,NO,54
"['NN', 'VBD', 'IN', 'NNS', 'CC']",1,1,1.0,NO,55
"['NN', 'VBD', 'IN', 'NNS', 'CC', 'IN']",1,1,1.0,NO,56
"['NN', 'VBD', 'IN', 'NNS', 'IN']",1,1,1.0,NO,57
"['NN', 'VBD', 'IN', 'PRP']",1,1,1.0,NO,58
"['NN', 'VBD', 'IN', 'VBG']",1,1,1.0,NO,59
"['NN', 'VBD', 'IN_like', 'PRP']",2,2,1.0,YES,60
"['NN', 'VBD', 'IN_like', 'PRP', 'VBD']",2,2,1.0,YES,61
"['NN', 'VBD', 'IN_like', 'PRP', 'VBD', 'VBG']",2,2,1.0,YES,62
"['NN', 'VBD', 'IN_like', 'PRP', 'VBG']",2,2,1.0,YES,63
"['NN', 'VBD', 'IN_like', 'VBD']",2,2,1.0,YES,64
"['NN', 'VBD', 'IN_like', 'VBD', 'VBG']",2,2,1.0,YES,65
"['NN', 'VBD', 'IN_like', 'VBG']",2,2,1.0,YES,66
"['NN', 'VBD', 'IN_like', 'DT']",2,2,1.0,NO,67
"['NN', 'VBD', 'IN_like', 'DT', 'NN']",2,2,1.0,NO,68
"['NN', 'VBD', 'IN_like', 'DT', 'NN', 'IN']",2,2,1.0,NO,69
"['NN', 'VBD', 'IN_like', 'DT', 'IN']",2,2,1.0,NO,70
"['NN', 'VBD', 'IN_like', 'NN']",2,2,1.0,NO,71
"['NN', 'VBD', 'IN_like', 'NN', 'IN']",2,2,1.0,NO,72
"['NN', 'VBD', 'IN_like', 'IN']",2,2,1.0,NO,73
"['NN', 'VBD', 'PRP', 'VBD']",2,2,1.0,YES,74
"['NN', 'VBD', 'PRP', 'VBD', 'VBG']",2,2,1.0,YES,75
"['NN', 'VBD', 'PRP', 'VBG']",2,2,1.0,YES,76
"['NN', 'VBD', 'PRP', 'RBR_more']",1,1,1.0,NO,77
"['NN', 'VBD', 'PRP', 'RBR_more', 'IN']",1,1,1.0,NO,78
"['NN', 'VBD', 'PRP', 'RBR_more', 'IN', 'DT']",1,1,1.0,NO,79
"['NN', 'VBD', 'PRP', 'RBR_more', 'IN', 'DT', 'IN']",1,1,1.0,NO,80
"['NN', 'VBD', 'PRP', 'RBR_more', 'IN', 'IN']",1,1,1.0,NO,81
"['NN', 'VBD', 'PRP', 'RBR_more', 'DT']",1,1,1.0,NO,82
"['NN', 'VBD', 'PRP', 'RBR_more', 'DT', 'IN']",1,1,1.0,NO,83
"['NN', 'VBD', 'PRP', 'IN']",3,3,1.0,NO,84
"['NN', 'VBD', 'PRP', 'IN', 'DT']",1,1,1.0,NO,85
"['NN', 'VBD', 'PRP', 'IN', 'DT', 'IN']",1,1,1.0,NO,86
"['NN', 'VBD', 'PRP', 'IN', 'IN']",1,1,1.0,NO,87
"['NN', 'VBD', 'PRP', 'IN', 'JJ']",2,2,1.0,NO,88
"['NN', 'VBD', 'PRP', 'IN', 'JJ', 'RB']",2,2,1.0,NO,89
"['NN', 'VBD', 'PRP', 'IN', 'RB']",2,2,1.0,NO,90
"['NN', 'VBD', 'PRP', 'DT']",1,1,1.0,NO,91
"['NN', 'VBD', 'PRP', 'DT', 'IN']",1,1,1.0,NO,92
"['NN', 'VBD', 'PRP', 'JJR_better']",2,2,1.0,NO,93
"['NN', 'VBD', 'PRP', 'JJR_better', 'IN']",2,2,1.0,NO,94
"['NN', 'VBD', 'PRP', 'JJR_better', 'IN', 'JJ']",2,2,1.0,NO,95
"['NN', 'VBD', 'PRP', 'JJR_better', 'IN', 'JJ', 'RB']",2,2,1.0,NO,96
"['NN', 'VBD', 'PRP', 'JJR_better', 'IN', 'RB']",2,2,1.0,NO,97
"['NN', 'VBD', 'PRP', 'JJR_better', 'JJ']",2,2,1.0,NO,98
"['NN', 'VBD', 'PRP', 'JJR_better', 'JJ', 'RB']",2,2,1.0,NO,99
"['NN', 'VBD', 'PRP', 'JJR_better', 'RB']",2,2,1.0,NO,100
"['NN', 'VBD', 'PRP', 'JJ']",4,4,1.0,NO,101
"['NN', 'VBD', 'PRP', 'JJ', 'RB']",2,2,1.0,NO,102
"['NN', 'VBD', 'PRP', 'RB']",2,2,1.0,NO,103
"['NN', 'VBD', 'VBD', 'VBG', 'JJ']",2,2,1.0,NO,104
"['NN', 'VBD', 'VBD', 'JJR_better']",4,4,1.0,YES,105
"['NN', 'VBD', 'VBD', 'JJR_better', 'IN']",4,4,1.0,YES,106
"['NN', 'VBD', 'VBD', 'JJR_better', 'IN', 'NN']",4,4,1.0,YES,107
"['NN', 'VBD', 'VBD', 'JJR_better', 'NN']",4,4,1.0,YES,108
"['NN', 'VBD', 'VBD', 'IN']",4,4,1.0,YES,109
"['NN', 'VBD', 'VBD', 'IN', 'NN']",4,4,1.0,YES,110
"['NN', 'VBD', 'VBD', 'NN']",4,4,1.0,YES,111
"['NN', 'VBD', 'VBD', 'JJ']",3,3,1.0,NO,112
"['NN', 'VBD', 'VBG', 'PRP']",2,2,1.0,NO,113
"['NN', 'VBD', 'VBG', 'PRP', 'JJ']",2,2,1.0,NO,114
"['NN', 'VBD', 'VBG', 'JJ']",4,4,1.0,NO,115
"['NN', 'VBD', 'RB', 'JJR_better']",16,16,1.0,YES,116
"['NN', 'VBD', 'RB', 'JJR_better', 'IN']",16,16,1.0,YES,117
"['NN', 'VBD', 'RB', 'JJR_better', 'IN', 'NN']",16,16,1.0,YES,118
"['NN', 'VBD', 'RB', 'JJR_better', 'IN', 'NN', 'CC']",4,4,1.0,YES,119
"['NN', 'VBD', 'RB', 'JJR_better', 'IN', 'JJ']",4,4,1.0,YES,120
"['NN', 'VBD', 'RB', 'JJR_better', 'IN', 'JJ', 'NN']",4,4,1.0,YES,121
"['NN', 'VBD', 'RB', 'JJR_better', 'IN', 'CC']",4,4,1.0,YES,122
"['NN', 'VBD', 'RB', 'JJR_better', 'NN']",16,16,1.0,YES,123
"['NN', 'VBD', 'RB', 'JJR_better', 'NN', 'CC']",4,4,1.0,YES,124
"['NN', 'VBD', 'RB', 'JJR_better', 'JJ']",4,4,1.0,YES,125
"['NN', 'VBD', 'RB', 'JJR_better', 'JJ', 'NN']",4,4,1.0,YES,126
"['NN', 'VBD', 'RB', 'JJR_better', 'CC']",4,4,1.0,YES,127
"['NN', 'VBD', 'RB', 'IN', 'NN']",18,18,1.0,YES,128
