"['VB', 'DT', 'JJS_best', 'NN', 'NN']"
"['NN', 'VBD', 'IN_like', 'PRP', 'VBD']"
"['NN', 'VBZ', 'RBR_more', 'JJ', 'IN']"
"['NN', 'VBD', 'RBR_better', 'IN', 'NN']"
"['NN', 'VBD', 'RBR_better', 'IN', 'NN']"
"['JJ', 'VBP', 'IN_like', 'DT', 'NN']"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['RB', 'VBD', 'JJR_harder', 'IN', 'NN']"
"['RB', 'DT', 'RBS_most', 'JJ', 'NN']"
"['RB', 'DT', 'RBS_most', 'JJ', 'NN']"
"['VBZ', 'RB', 'JJR_longer', 'IN', 'PRP']"
"['JJ', 'DT', 'RBR_more', 'JJ', 'NN']"
"['VBD', 'DT', 'JJR_slower', 'NN', 'IN']"
"['VBN', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBN', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBZ', 'RB', 'RBR_better', 'IN', 'JJS']"
"['RBR', 'IN', 'JJS_forrest', 'NN']"
"['VBZ', 'RB', 'RBR_better', 'IN', 'JJS']"
"['VBD', 'RB', 'JJ_like', 'NN', 'NN']"
"['JJ', 'DT', 'RBR_more', 'JJ', 'NN']"
"['``', 'NN', 'JJ_inferior', 'TO', 'VB']"
"['VBN', 'DT', 'RBR_better', 'VBG', 'IN']"
"['VBN', 'DT', 'RBR_better', 'VBG', 'IN']"
"['NN', 'VBZ', 'JJR_less', 'IN', 'NNS']"
"['NN', 'VBZ', 'JJR_less', 'IN', 'NNS']"
"['NN', 'VBP', 'JJR_less', 'NN', 'IN']"
"['NN', 'VBP', 'JJR_less', 'NN', 'IN']"
"['IN', 'NN', 'JJR_more', 'IN', 'NN']"
"['IN', 'NNS', 'IN_like', 'NN', 'JJR']"
"['PDT', 'DT', 'JJS_best', 'NN', 'NN']"
"['VBZ', 'IN', 'PDT_all', 'DT', 'JJS']"
"['VBZ', 'DT', 'JJS_best', 'NN', 'RB']"
"['VBZ', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBZ', 'RB', 'JJR_better', 'IN', 'NN']"
"['NN', 'VBZ', 'JJR_better', 'IN', 'NN']"
"['NN', 'VBZ', 'JJR_better', 'IN', 'NN']"
"['NN', 'WRB', 'VBN_compar', 'TO', 'VB']"
"['RB', 'IN', 'DT_all', 'NN', ""''""]"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['VBD', 'NN', 'RBR_better', 'IN', 'NN']"
"['NN', 'VBZ', 'RBR_more', 'JJ', 'IN']"
"['NN', 'VBZ', 'JJR_more', 'NN', 'NN']"
"['VBZ', 'DT', 'RBR_more', 'JJ', 'NN']"
"['CD', 'NNS', 'JJR_better', 'IN', 'NN']"
"['CD', 'NNS', 'JJR_better', 'IN', 'NN']"
"['VBD', 'NN', 'RBR_better', 'RB', 'VB']"
"['VBD', 'NN', 'RBR_better', 'RB', 'VB']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBZ', 'VBG', 'JJR_better', ""''""]"
"['VBZ', 'VBG', 'JJR_better', ""''""]"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBN', 'RB', 'RBR_more', 'IN', 'PRP']"
"['VBD', 'RB', 'JJR_more', 'JJ', 'CC']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBD', 'VBD', 'JJR_better', 'IN', 'NN']"
"['VBD', 'VBD', 'JJR_better', 'IN', 'NN']"
"['``', 'JJ_prefer', 'NN', 'NN']"
"['NN', 'RB', 'VBP_prefer', 'JJ', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['VBD', 'RB', 'JJR_better', 'IN', 'NN']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"['DT', 'RB', 'JJR_better', 'NN', 'IN']"
"[""''"", 'RB', 'RBR_better', 'IN', 'JJ']"
"[""''"", 'RB', 'RBR_better', 'IN', 'JJ']"
"['NN', 'VBZ', 'RBR_more', 'RB', 'VBN']"
"['JJ', 'NN', 'RBR_more', 'JJ', ""''""]"
"['``', 'NN', 'IN_like', 'NN', 'IN']"
"['``', 'VBN_compar', 'IN', 'NN']"
"['VBZ', 'DT', 'JJS_worst', 'NN', 'IN']"
"['NN', 'VBZ', 'RBR_more', 'VBG', 'IN']"
"['JJ', 'VBP', 'IN_like', 'DT', 'NN']"
"['VBZ', 'NN', 'RBR_more', 'JJ', 'RB']"
"['NN', 'VBZ', 'RBR_more', 'VBG', 'IN']"
"['``', 'NN', 'IN_like', 'NN', 'NN']"
"['RB', 'NN', 'PDT_all', 'DT', 'NN']"
